cell_height,light_count,lamp_count,light_device,lamp_type,light_power,time,days,marker
,1,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,6,4,"""кристалл""",ЛБ,72,12,330,на замену
,1,2,"""кристалл""",ЛБ,72,12,330,на замену
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,4,4,"""кристалл""",ЛБ,72,8,330,на замену
,3,4,"""кристалл""",ЛБ,72,8,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,6,4,"""кристалл""",ЛБ,72,12,330,на замену
,1,4,"""кристалл""",ЛБ,72,8,330,на замену
,1,4,"""кристалл""",ЛБ,72,8,330,на замену
,3,4,"""кристалл""",ЛБ,72,8,330, 
,2,4,"""кристалл""",ЛБ,72,8,330,
,2,4,"""кристалл""",ЛБ,72,8,330,
,6,4, ,ЛБ,72,6,330, 
,8,4, ,ЛБ,72,6,330, 
,2,4, ,ЛБ,72,6,330, 
,1,4, ,ЛБ,72,8,330, 
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,0,vlsu- 36-400,CL,36,6,330,
,2,2,"""кристалл""",ЛБ,72,8,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,12,330,на замену
,2,4,"""кристалл""",ЛБ,72,8,330,
,2,4,"""кристалл""",ЛБ,72,8,330,
,6,4,"""кристалл""",ЛБ,72,12,330,на замену
,3,4,"""кристалл""",ЛБ,72,8,330,на замену
